CmV;Chi;Euc
0,6953372;0,2424351;0,004533031
1;0,3306962;0,000387148
0,999975;0,4382623;0,000387148
1;0,1202207;0,000195383
0,1729796;0,4382623;0,000387148
0,821939;0,6953372;0,004533031
1;0,5624609;0,000387148
0,821939;0,5624609;0,000746139
0,9979305;0,5624609;0,000195383
1;0,1202207;0,000195383
0,999975;0,5624609;0,000195383
0,999975;0,4382623;0,000195383
0,3306962;0,4382623;9,59E-05
0,6953372;0,3306962;0,000746139
0,9793613;0,6953372;9,59E-05
0,821939;0,4382623;0,00139901
0,4382623;0,2424351;0,000195383
0,6953372;0,3306962;0,000195383
0,999975;0,6953372;0,000746139
0,5624609;0,5624609;0,000746139
0,9793613;0,6953372;0,000195383
0,4382623;0,5624609;0,000746139
0,999975;0,5624609;0,000195383
0,9793613;0,4382623;0,000387148
0,5624609;0,3306962;0,007836765
1;0,6953372;0,000195383
0,999975;0,6953372;0,000387148
0,6953372;0,4382623;0,000746139
0,999975;0,3306962;0,000195383
0,6953372;0,4382623;0,00139901
0,9979305;0,4382623;9,59E-05
0,999975;0,3306962;0,000387148
1;0,3306962;4,57E-05
0,821939;0,3306962;0,000195383
0,999975;0,3306962;0,000746139
0,999975;0,1729796;0,000195383
0,999975;0,2424351;0,000746139
0,9219575;0,01319189;0,000195383
0,9979305;0,3306962;0,0814096
0,6953372;0,1729796;0,0814096
0,9979305;0,0814096;0,0814096
0,3306962;0,2424351;0,0814096
0,999975;0,1202207;0,0814096
0,9793613;0,2424351;0,0814096
0,9219575;0,3306962;0,000746139
1;0,1729796;4,57E-05
1;0,0814096;0,02162603
0,9979305;0,1729796;0,01319189
0,9219575;0,1729796;0,02162603
0,9979305;0,2424351;2,12E-05
0,4382623;0,2424351;0,007836765
0,6953372;0,1729796;0,004533031
0,5624609;0,1729796;0,004533031
0,1202207;0,3306962;0,02162603
0,6953372;0,1202207;0,000387148
0,5624609;9,59E-05;0,00255258
0,5624609;0,000195383;0,007836765
0,6953372;0,000195383;0,004533031
0,5624609;4,57E-05;0,00139901
0,1202207;9,59E-05;0,004533031
0,3306962;0,000387148;0,00255258
0,1729796;0,000195383;0,007836765
0,4382623;9,59E-05;0,004533031
0,1729796;4,57E-05;0,00255258
