CmV;Chi;Euc
0,4382623;0,00139901;0,05371557
0,821939;0,02162603;0,0814096
0,3306962;0,01319189;0,05371557
0,821939;0,007836765;0,0814096
0,821939;0,0345318;0,05371557
0,3306962;0,02162603;0,05371557
0,6953372;0,00139901;0,05371557
0,6953372;0,02162603;0,05371557
0,821939;0,01319189;0,02162603
0,6953372;0,0345318;0,05371557
0,4382623;0,004533031;0,0814096
0,821939;0,00139901;0,0814096
0,4382623;0,05371557;0,0814096
0,821939;0,02162603;0,05371557
0,6953372;0,01319189;0,0814096
0,6953372;0,00139901;0,05371557
0,821939;0,01319189;0,05371557
0,821939;0,05371557;0,0814096
0,821939;0,01319189;0,0814096
0,821939;0,01319189;0,0814096
0,821939;0,02162603;0,0814096
0,2424351;0,00255258;0,02162603
0,6953372;0,007836765;0,0814096
0,4382623;0,02162603;0,1729796
0,4382623;0,01319189;0,05371557
0,3306962;0,00139901;0,05371557
0,821939;0,05371557;0,05371557
0,3306962;0,004533031;0,0814096
0,821939;0,0345318;0,0814096
0,4382623;0,00139901;0,0345318
0,821939;0,01319189;0,05371557
0,3306962;0,007836765;0,0814096
0,4382623;0,01319189;0,1729796
0,4382623;0,00139901;0,1202207
0,821939;0,01319189;0,02162603
0,6953372;0,01319189;0,0345318
0,821939;0,00255258;0,05371557
0,821939;0,007836765;0,05371557
0,821939;0,02162603;0,02162603
0,821939;0,05371557;0,05371557
0,821939;0,01319189;0,05371557
0,5624609;0,00255258;0,1202207
0,4382623;0,0345318;0,1202207
0,6953372;0,00255258;0,007836765
0,6953372;0,0345318;0,01319189
0,821939;0,05371557;0,01319189
0,6953372;0,007836765;0,007836765
0,4382623;0,00255258;0,00255258
0,5624609;0,007836765;0,00255258
0,5624609;0,0345318;0,01319189
0,5624609;0,00255258;0,007836765
0,1202207;0,00255258;0,007836765
0,2424351;0,004533031;0,00255258
0,02162603;0,0345318;0,004533031
0,2424351;0,007836765;0,01319189
0,1202207;0,0345318;0,01319189
0,0814096;0,00139901;0,007836765
0,0814096;0,0345318;0,00255258
