CmV;Chi;Euc
0,05371557;0,5624609;0,9793613
0,9979305;0,821939;0,2424351
0,999975;0,05371557;0,2424351
0,9979305;0,0814096;0,9793613
0,1202207;0,5624609;0,1729796
0,999975;0,5624609;0,4382623
0,9979305;0,6953372;0,9219575
0,9793613;0,05371557;0,6953372
0,9219575;0,4382623;0,3306962
0,1729796;0,5624609;0,4382623
0,2424351;0,5624609;0,6953372
0,2424351;0,5624609;0,2424351
0,1729796;0,2424351;0,4382623
0,4382623;0,2424351;0,821939
0,6953372;0,6953372;0,6953372
0,1729796;0,4382623;0,4382623
0,999975;0,4382623;0,2424351
0,9793613;0,5624609;0,821939
0,6953372;0,1729796;0,3306962
0,1202207;0,2424351;0,5624609
0,05371557;0,821939;0,5624609
0,9979305;0,3306962;0,6953372
0,5624609;0,3306962;0,3306962
0,1202207;0,5624609;0,5624609
0,4382623;0,2424351;0,2424351
0,3306962;0,5624609;0,6953372
0,999975;0,0814096;0,6953372
0,821939;0,4382623;0,4382623
0,821939;0,9793613;0,9219575
0,4382623;0,5624609;0,2424351
0,1202207;0,4382623;0,821939
0,6953372;0,6953372;0,2424351
0,999975;0,2424351;0,2424351
0,0814096;0,5624609;0,5624609
0,9219575;0,1729796;0,9793613
0,6953372;0,1202207;0,3306962
0,2424351;0,0814096;0,821939
0,4382623;0,4382623;0,2424351
0,999975;0,1729796;0,5624609
0,999975;0,5624609;0,5624609
0,4382623;0,1729796;0,9219575
0,9793613;0,1202207;0,5624609
0,9979305;0,1202207;0,4382623
0,5624609;0,2424351;0,6953372
0,821939;0,2424351;0,6953372
0,999975;0,5624609;0,2424351
0,9219575;0,3306962;0,6953372
0,999975;0,5624609;0,5624609
0,9979305;0,6953372;0,4382623
0,821939;0,5624609;0,5624609
0,9979305;0,3306962;0,0814096
0,01319189;0,9979305;0,6953372
0,007836765;0,1202207;0,5624609
0,3306962;0,821939;0,0814096
0,00255258;0,9219575;0,9979305
0,02162603;0,1729796;0,2424351
0,0814096;0,3306962;0,6953372
0,9219575;0,2424351;0,6953372
0,1202207;0,2424351;0,9979305
0,6953372;0,9219575;0,5624609
0,5624609;0,3306962;0,9219575
0,5624609;0,4382623;0,821939
0,5624609;0,9219575;0,5624609
0,2424351;0,6953372;0,5624609
0,004533031;0,1202207;0,821939
0,9219575;0,6953372;0,9219575
0,1202207;0,821939;0,821939
0,1729796;0,821939;0,4382623
0,2424351;0,821939;0,1202207
0,1729796;0,9793613;0,5624609
0,1202207;0,821939;0,0814096
0,02162603;0,1729796;0,05371557
0,05371557;0,1729796;0,3306962
0,0814096;0,1729796;0,4382623
0,9793613;0,1729796;0,1729796
0,05371557;0,3306962;0,1202207
0,0814096;0,5624609;0,1729796
0,01319189;0,9219575;0,1202207
0,6953372;0,4382623;0,3306962
0,3306962;0,4382623;0,3306962
0,5624609;0,4382623;0,1729796
0,1202207;0,5624609;0,2424351
0,004533031;0,9219575;0,2424351
0,3306962;0,2424351;0,1729796
0,0814096;0,2424351;0,0814096
0,01319189;0,2424351;0,2424351
0,2424351;0,6953372;0,2424351
0,0345318;0,2424351;0,4382623
0,2424351;0,2424351;0,0814096
0,05371557;0,9793613;0,3306962
0,007836765;0,821939;0,2424351
0,1729796;0,5624609;0,1729796
0,9793613;0,2424351;0,821939
0,4382623;0,2424351;0,1202207
0,01319189;0,9219575;0,1729796
0,5624609;0,821939;0,821939
0,9219575;0,3306962;0,0814096
0,9979305;0,9793613;0,2424351
0,2424351;0,821939;0,1202207
0,007836765;0,9219575;0,0814096
1;0,5624609;0,0345318
0,1729796;0,9219575;0,9219575
0,01319189;0,0345318;0,1729796
0,4382623;0,02162603;0,00139901
0,9979305;0,0345318;0,9219575
0,0345318;0,2424351;0,02162603
0,9793613;0,4382623;0,4382623
0,5624609;0,0814096;0,02162603
0,9979305;0,821939;0,5624609
0,1729796;0,02162603;0,4382623
0,2424351;0,3306962;0,5624609
0,5624609;0,4382623;0,00139901
0,1202207;0,3306962;0,05371557
0,02162603;0,1202207;0,821939
0,999975;0,0345318;0,821939
0,9219575;0,3306962;0,05371557
0,05371557;0,0345318;0,05371557
0,0345318;0,4382623;0,4382623
0,1729796;0,1729796;0,9219575
0,9219575;0,4382623;0,00255258
0,6953372;0,0345318;0,5624609
0,9793613;0,0814096;0,9219575
1;0,1202207;0,1202207
0,2424351;0,02162603;0,1202207
0,9979305;0,05371557;0,1729796
0,3306962;0,1202207;0,6953372
0,01319189;0,05371557;0,4382623
