CmV;Chi;Euc
1;0,6953372;0,9219575
1;0,2424351;0,4382623
0,821939;0,3306962;0,2424351
0,821939;0,9219575;0,821939
0,9793613;0,821939;0,3306962
1;0,4382623;0,821939
1;0,821939;0,2424351
1;0,1729796;0,6953372
0,9793613;0,9219575;0,3306962
0,999975;0,2424351;0,3306962
1;0,6953372;0,6953372
0,999975;0,2424351;0,3306962
0,9979305;0,2424351;3,31E-01
0,9979305;0,4382623;0,5624609
1;0,3306962;9,22E-01
1;0,5624609;0,821939
0,9979305;0,9219575;0,3306962
0,999975;0,2424351;0,5624609
1;0,6953372;0,3306962
1;0,821939;0,3306962
0,9793613;0,2424351;0,6953372
1;0,4382623;0,5624609
1;0,2424351;0,2424351
0,999975;0,6953372;0,2424351
1;0,3306962;0,2424351
0,9793613;0,2424351;0,5624609
1;0,1729796;0,4382623
1;0,2424351;0,6953372
1;0,5624609;0,821939
1;0,2424351;0,2424351
1;0,4382623;2,42E-01
0,999975;0,3306962;0,5624609
0,999975;0,6953372;2,42E-01
0,9793613;0,2424351;0,4382623
1;0,821939;0,2424351
0,6953372;0,9219575;0,2424351
0,9793613;0,821939;0,4382623
0,9979305;0,6953372;0,3306962
0,999975;0,3306962;0,3306962
1;0,9219575;0,3306962
0,9979305;0,4382623;0,3306962
1;0,5624609;0,5624609
0,9979305;0,2424351;0,3306962
0,999975;0,3306962;0,4382623
0,9793613;0,5624609;0,3306962
0,821939;0,5624609;4,38E-01
0,999975;0,4382623;0,2424351
0,9219575;0,2424351;0,9219575
0,821939;0,821939;0,5624609
1;0,3306962;2,42E-01
0,1729796;0,1202207;0,9219575
1;0,9979305;0,821939
1;0,4382623;0,821939
0,9979305;0,6953372;0,4382623
1;0,5624609;0,4382623
0,3306962;6,95E-01;0,2424351
1;0,3306962;0,6953372
0,999975;0,2424351;0,2424351
0,4382623;9,98E-01;0,5624609
0,9793613;3,31E-01;0,9219575
0,9979305;0,5624609;0,821939
0,999975;0,9979305;0,4382623
0,821939;5,62E-01;0,6953372
0,9793613;3,31E-01;0,2424351
0,5624609;0,1202207;0,4382623
0,9979305;9,22E-01;5,62E-01
0,2424351;9,98E-01;0,2424351
0,2424351;0,6953372;0,2424351
0,999975;0,4382623;3,31E-01
1;0,821939;0,4382623
0,999975;0,4382623;0,3306962
0,821939;0,1729796;4,38E-01
0,2424351;1,73E-01;5,62E-01
