CmV;Chi;Euc
0,1649727;0,1649727;0,09707484
0,1649727;0,1649727;0,001270814
0,1649727;0,02860307;0,02860307
0,2656871;0,05414108;0,09707484
0,2656871;0,09707484;0,05414108
0,5786001;0,02860307;0,09707484
0,1649727;0,1649727;0,001270814
0,5786001;0,09707484;0,09707484
0,4045874;0,09707484;0,05414108
0,2656871;0,05414108;0,006760732
0,2656871;0,09707484;0,01430155
0,5786001;0,09707484;0,09707484
0,2656871;0,2656871;0,09707484
0,2656871;0,09707484;0,09707484
0,5786001;0,02860307;0,09707484
0,1649727;0,09707484;0,09707484
0,4045874;0,05414108;0,001270814
0,2656871;0,09707484;0,05414108
0,4045874;0,02860307;0,09707484
0,2656871;0,09707484;0,05414108
0,4045874;0,05414108;0,05414108
0,2656871;0,1649727;0,1649727
0,5786001;0,09707484;0,05414108
0,1649727;0,1649727;0,02860307
0,2656871;0,05414108;0,09707484
0,4045874;0,02860307;0,001270814
0,4045874;0,02860307;0,09707484
0,1649727;0,02860307;0,09707484
0,2656871;0,1649727;0,006760732
0,2656871;0,02860307;0,09707484
0,5786001;0,2656871;0,05414108
0,5786001;0,09707484;0,02860307
0,2656871;0,05414108;0,001270814
0,5786001;0,05414108;0,05414108
0,4045874;0,05414108;0,09707484
0,4045874;0,05414108;0,05414108
0,2656871;0,05414108;0,09707484
0,2656871;0,05414108;0,1649727
0,2656871;0,09707484;0,05414108
0,1649727;0,05414108;0,05414108
0,2656871;0,05414108;0,05414108
0,2656871;0,05414108;0,05414108
0,4045874;0,05414108;0,05414108
0,5786001;0,09707484;0,05414108
0,5786001;0,09707484;0,000187911
0,2656871;0,05414108;0,003018184
0,2656871;0,09707484;0,02860307
0,2656871;0,05414108;0,02860307
0,2656871;0,05414108;0,02860307
0,1649727;0,05414108;0,006760732
0,9188052;0,05414108;0,003018184
0,7659315;0,05414108;0,02860307
0,1649727;0,05414108;0,003018184
0,1649727;0,05414108;0,01430155
0,7659315;0,05414108;0,000503944
0,05414108;0,1649727;0,006760732
0,09707484;0,1649727;0,003018184
0,7659315;0,1649727;0,001270814
0,05414108;0,1649727;0,003018184
0,4045874;0,1649727;0,02860307
0,4045874;0,1649727;0,000187911
0,1649727;0,1649727;0,006760732
0,09707484;0,1649727;0,000503944
0,1649727;0,1649727;0,006760732
0,1649727;0,1649727;0,006760732
0,4045874;0,1649727;0,006760732
0,1649727;0,1649727;0,001270814
0,1649727;0,1649727;0,000187911
0,1649727;0,02860307;0,003018184
0,1649727;0,09707484;0,003018184
0,1649727;0,09707484;0,001270814
0,2656871;0,2656871;0,006760732
0,1649727;0,1649727;0,003018184
0,2656871;0,1649727;0,02860307
0,09707484;0,1649727;0,003018184
0,1649727;0,09707484;0,006760732
0,09707484;0,1649727;0,000187911
0,2656871;0,09707484;0,02860307
0,09707484;0,09707484;0,001270814
0,2656871;0,09707484;0,02860307
0,2656871;0,05414108;0,006760732
0,7659315;0,1649727;0,000503944
0,09707484;0,4045874;0,006760732
0,7659315;0,09707484;0,006760732
0,1649727;0,1649727;0,02860307
0,09707484;0,09707484;0,003018184
0,1649727;0,4045874;0,003018184
0,1649727;0,1649727;0,006760732
0,4045874;0,05414108;0,006760732
0,1649727;0,1649727;0,003018184
0,09707484;0,05414108;0,003018184
0,4045874;0,09707484;0,003018184
0,1649727;0,1649727;0,003018184
0,1649727;0,1649727;0,001270814
0,09707484;0,09707484;0,02860307
0,4045874;0,1649727;0,02860307
0,7659315;0,1649727;0,05414108
0,09707484;0,2656871;0,02860307
0,1649727;0,4045874;0,02860307
0,09707484;0,02860307;0,02860307
0,7659315;0,1649727;0,05414108
0,9900193;0,1649727;0,02860307
0,9900193;0,1649727;0,006760732
0,9999246;0,2656871;0,01430155
0,5786001;0,2656871;0,02860307
1;0,2656871;0,006760732
0,5786001;0,1649727;0,02860307
0,9999246;0,1649727;0,02860307
0,9999246;0,1649727;0,01430155
