root, Base, HostnameLookups, KeepAlive, EnableSendfile, FollowSymLinks, AccessLog, ExtendedStatus, InMemory, Handle, 0
0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 280,800291572354
0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 88,1108495006061
0, 0, 0, 1, 0, 0, 0, 1, 0, 0, -95,6902188349732
0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 558,902140596663
0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 332,205413925336
0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 291,611063710911
0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 121,575908909703
0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1245,00971796585
0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 69,092439628454
0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 416,700667589083
0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 122,810168193401
0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 65,0946819161238
0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 197,313422655057
0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 81,6723303530017
0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 174,790020509615
0, 0, 0, 0, 1, 1, 0, 0, 0, 1, -145,626149485889
