root, Base, HostnameLookups, KeepAlive, EnableSendfile, FollowSymLinks, AccessLog, ExtendedStatus, InMemory, Handle, 0
0, 0, 0, 0, 0, 0, 0, 1, 0, 1, -71,1926056865947
0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 18,7578613319552
0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 16,1438390539225
0, 0, 0, 0, 0, 1, 0, 1, 0, 0, -221,095389481194
0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 8,6121982288013
0, 1, 0, 0, 0, 0, 1, 0, 0, 0, -464,541456732477
0, 0, 0, 1, 0, 1, 0, 0, 0, 0, -442,965487843233
0, 0, 0, 0, 0, 0, 1, 0, 1, 0, -76,9294829295631
0, 0, 0, 0, 0, 0, 1, 0, 0, 1, -372,888148538409
0, 0, 0, 0, 0, 1, 1, 0, 0, 0, -54,4361312038807
0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 63,6150298543603
0, 1, 0, 0, 0, 0, 0, 0, 1, 0, -55,1977203426662
0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 71,2126991345012
0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 4,53203665904687
0, 0, 0, 0, 1, 0, 1, 1, 0, 0, -374,268675599882
0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 212,764884536928
