root, time_passes, gvn, instcombine, inline, jump_threading, simplifycfg, sccp, print_used_types, ipsccp, iv_users, licm, 0
0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, -62,6939115539692
0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, -76,5690249455046
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5,23635049750219
0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, -74,9622086756259
0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -72,5171032489436
0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 15,5889495655675
0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, -56,0099152047831
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 38,7019475711319
0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, -4,89723757464422
0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, -33,620051183166
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 8,31071769315398
0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, -70,0535392302267
0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 29,2299240460989
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 38,4722694425745
0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, -2,80406356258368
0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 15,3419408045453
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 16,5940423846355
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 30,3533941203633
0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 18,6668447396915
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, -49,6918847299929
0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 24,7431616772114
0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, -72,0839308673613
0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, -41,9304658158247
0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 45,7090161522856
0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, -77,0809704992674
0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, -41,7435058493204
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 47,3112211814745
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, -1,17671301609708
0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, -80,5085859149165
0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, -81,7897664545591
0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 38,0806479130481
0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 33,8124160372265
0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, -72,5649405413694
0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, -73,3375348986301
0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, -89,879348081058
0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 3,11994492833279
0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2,96029109681735
0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, -32,4401213188302
