"ALGO";"SPL";"VARIABLE";"value";"DIST";"VRANGE";"FINT"
"IBEA";"Paxtls1of3";"HV";0,141995711682709;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,142134642931358;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,141762264825442;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,142163888686289;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,141873913989442;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,142441411296208;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,142273718805795;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,142532218188838;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,142100214422354;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,142485853919675;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,142454476282011;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,142437073697425;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,142158787537017;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,141929556600104;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,142352322444363;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,142767611957405;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,14245819449062;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,141854858554171;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,142023311824533;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,142407520661161;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,142389075020108;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,141732957272817;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,142838085271549;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,141861056107357;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,141636966925828;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,142015657944171;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,142097506873097;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,142269470772926;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,142265098391194;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,142132470088267;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,142044229239453;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,141814365560333;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,141959028855451;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,142385458459457;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,142450512001626;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,142424719442026;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,141877907813878;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,142392516612627;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,141784694760084;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,141607016380851;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,141658769742107;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,14272801702458;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,1421389887125;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,142027485895655;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,142381841862779;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,142936382100115;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,142248822502239;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,142123843441497;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,142762639525465;"normal";"15";"F"
"IBEA";"Paxtls1of3";"HV";0,142297268211004;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";24,666668;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";24,666668;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";25,333332;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";25;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";25;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";25,333332;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";25;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";25,333332;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";25,333332;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";24,666668;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";25;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";24,666668;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";25;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";25,333332;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";24,333334;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";24,666668;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";24,333334;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";25,333332;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";25;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";24,333334;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";25,666666;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";25;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";24,666668;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";25;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";23,666666;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";25,333332;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";24;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";24,666668;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";25,333332;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";24,333334;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";25,333332;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";25,333332;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";24,666668;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";25,333332;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";25,333332;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";25,333332;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";24,333334;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";25,333332;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";25,333332;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";25;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";23,666666;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";25;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";24,666668;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";25,333332;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";25;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";25;"normal";"15";"F"
"IBEA";"Paxtls1of3";"PCORRECT";25;"normal";"15";"F"
