"ALGO";"SPL";"VARIABLE";"value";"DIST";"VRANGE";"FINT"
"IBEA";"Ptoybox1of3";"HV";0,162651415990189;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162498878050577;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162568870881827;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162360926686205;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,16293253014055;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162652758414008;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162440127229535;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162423474561877;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162495820799868;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162492663766913;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162922076323276;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162682000294857;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162337580489074;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,163033151332276;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,163100757341685;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162978009703143;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162617279008754;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162469837552258;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162891970185515;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,16231331542694;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162477596109843;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162495090042059;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,16229350796689;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,163097317934162;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162474024218038;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162890403771847;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162728129481368;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162782098629425;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,1630405284679;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,16307313903496;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162511456179914;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162858061573599;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162742214162987;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162921396540052;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162528802689888;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162561286594362;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162881291563742;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162505993437999;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,16256521962246;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,163066252645871;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162763099614449;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162543697438309;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,16251102091112;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162988938635088;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162478465074062;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162315185821091;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162902452432219;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,16282180550323;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162982777104566;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"HV";0,162950982584254;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"PCORRECT";27,666668;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"PCORRECT";28;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"PCORRECT";28,333334;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"PCORRECT";28;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"PCORRECT";27,333334;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"PCORRECT";27,666668;"1of3normal";"15";"F"
"IBEA";"Ptoybox1of3";"PCORRECT";28,333334;"1of3normal";"15";"F"
