TIME,HV,SPREAD,CORRECT,TOTAL,%CORRECT,OBJ1-MEAN,OBJ1-STDEV,OBJ2-MEAN,OBJ2-STDEV,OBJ3-MEAN,OBJ3-STDEV,OBJ4-MEAN,OBJ4-STDEV,OBJ5-MEAN,OBJ5-STDEV
100,0.0,0.4600798282692073,0,264,0.0,4285.007575757576,271.3022606047995,3398.337121212121,42.67952263461531,1679.6363636363637,29.418807818188796,8661.022727272728,174.64008295457305,33910.27511493714,445.86171887654484,
200,0.0,0.6399353861089798,0,291,0.0,4137.07560137457,230.3002099962019,3407.553264604811,49.77716407375494,1674.2164948453608,33.18102803396644,8630.01030927835,194.9746037658496,33797.21542574828,514.5804741375351,
300,0.0,0.8578076599018053,0,289,0.0,4050.1522491349483,192.52055389337522,3408.3356401384085,53.98899166617224,1673.0103806228374,37.86339354103594,8615.079584775087,208.55433493763894,33754.998786079515,581.346231276302,
400,0.0,0.9822637024917832,0,289,0.0,3971.2906574394465,180.52736648808923,3408.387543252595,56.13850257289574,1673.2110726643598,38.140703110948124,8599.695501730104,212.75600662135952,33713.73411395379,592.962249182881,
500,0.0,1.0616650669809824,0,292,0.0,3945.3150684931506,179.54959834566938,3414.0342465753424,58.39554711673217,1669.63698630137,38.15126349134605,8589.167808219177,221.93076158183206,33649.27991878405,607.900727903529,
600,0.0,0.9679264957061886,0,294,0.0,3923.013605442177,174.5252641943361,3415.4421768707484,60.17300785379438,1669.6802721088436,37.735381256394014,8579.71088435374,229.76773561688427,33640.58049576812,610.3127467348928,
700,0.0,0.9676235375487273,0,295,0.0,3912.159322033898,178.20288867395996,3416.2915254237287,60.83517405874522,1668.864406779661,38.352184931954916,8575.484745762711,233.23385864439948,33622.29157730761,604.1188094287427,
800,0.0,0.8967818922686992,0,297,0.0,3901.1481481481483,183.1002143358566,3417.3097643097644,61.49899404294849,1667.93265993266,38.4951198620568,8573.444444444445,234.6469755665657,33608.26018783036,609.646891922534,
900,0.0,0.8989650274297465,0,290,0.0,3881.2586206896553,186.4764162166198,3415.4172413793103,63.67326385792586,1668.4172413793103,39.333170777659085,8575.841379310345,235.15254552537382,33617.66161329077,631.3409591522261,
1000,0.0,0.9672391982672012,0,295,0.0,3874.5186440677967,190.32357502874092,3417.9525423728815,65.71900469637454,1667.657627118644,40.226579472586906,8560.108474576271,243.19077068246386,33588.14885298412,642.5308272543423,
1100,0.0,0.8455770668690332,0,294,0.0,3853.9557823129253,180.99316356061763,3416.6496598639455,66.56128358643198,1667.5544217687075,40.077332951462516,8565.391156462585,248.76332232472842,33598.58757559273,651.0967576695015,
1200,0.0,0.8390553354102943,0,292,0.0,3838.071917808219,175.4661061768624,3419.051369863014,67.529299309609,1665.4178082191781,39.02953866428326,8563.914383561643,252.4873987062363,33567.1521335346,666.8977534972034,
1300,0.0,0.8206333079433624,0,297,0.0,3818.124579124579,167.94417854246794,3420.922558922559,68.28735134011185,1663.7609427609427,38.21400077201361,8560.222222222223,257.10668915293286,33548.50366214482,674.2428007691534,
1400,0.0,0.9252153867490471,0,293,0.0,3812.9931740614334,165.1607551409559,3423.2457337883957,72.45067304353738,1663.1331058020478,41.39552863991334,8542.40614334471,259.10207687728564,33522.36678431103,717.7007019885581,
1500,0.0,0.9473277269398142,0,293,0.0,3785.075085324232,155.92492229567034,3416.8293515358364,73.41623509379528,1667.1979522184301,41.01570991669428,8554.648464163822,260.1085674602854,33579.13796048124,731.4594184480688,
1600,0.0,0.9618325885647472,0,295,0.0,3783.098305084746,163.52197954323276,3418.3661016949154,76.52690810730716,1666.6813559322034,42.74441374771707,8544.898305084746,263.61365508954503,33564.63606082282,760.2317266830939,
1700,0.0,0.9327290435203955,0,294,0.0,3789.4761904761904,172.23427066333136,3421.5714285714284,80.10685890444972,1666.030612244898,45.734992501157556,8526.850340136054,268.4251464274131,33537.29258880017,801.2089962885882,
1800,0.0,1.0325051242989018,0,292,0.0,3772.3356164383563,168.25507696129156,3418.3938356164385,83.52859630304185,1668.585616438356,47.23494395147998,8526.07191780822,271.1263258222195,33575.58457776823,837.3979945277235,
1900,0.0,0.9977604254781738,0,296,0.0,3768.189189189189,172.47470834374963,3420.6925675675675,87.13636842051483,1667.7027027027027,47.92272206367972,8520.236486486487,285.9905701877317,33551.98051526614,870.2544420015362,
2000,0.0,0.9604350603643322,0,294,0.0,3755.598639455782,166.12091571383985,3419.5850340136053,90.27402301770739,1669.1224489795918,49.33198627861008,8519.173469387755,297.78715720595955,33559.036467441096,902.0705758431558,
3000,0.0,0.9570141962914792,0,292,0.0,3745.7842465753424,166.099609159048,3419.1369863013697,91.62726983392547,1669.373287671233,51.077577032320036,8516.356164383562,300.10119845031517,33557.39386166245,921.8776114910521,
4000,0.0,1.007781429763857,0,295,0.0,3735.186440677966,163.0954253872452,3418.5254237288136,91.26607700159539,1669.749152542373,53.360349568396515,8511.633898305085,302.49564479855144,33550.69864406384,932.6439474012915,
5000,0.0,0.9989411969675823,0,295,0.0,3722.477966101695,160.32637905095987,3414.840677966102,90.54511960501311,1673.786440677966,57.22585482290835,8505.49152542373,299.1370284544999,33590.07832671189,933.4377571221121,
6000,0.0,1.0340186527395343,0,298,0.0,3717.6241610738257,159.4012907625889,3416.7080536912754,90.0369350138135,1672.288590604027,58.156442025112874,8500.25167785235,298.740836955663,33564.10147635594,932.041555114206,
7000,0.0,0.9258797686237223,0,294,0.0,3716.2108843537417,157.35839034122884,3418.7448979591836,89.80750137878877,1670.1326530612246,59.65113505516413,8496.945578231293,292.5768875586539,33538.04738532909,935.03366864327,
8000,0.0,0.9507517669146627,0,294,0.0,3712.608843537415,162.5695666581679,3418.3469387755104,92.0662400592971,1670.9625850340135,61.15327538175071,8489.642857142857,299.421582411164,33545.70317907493,961.3967184022099,
9000,0.0,0.9643211975841383,0,294,0.0,3701.1598639455783,159.03926574579336,3418.517006802721,92.08361726122354,1670.6462585034014,61.16925361684592,8490.65306122449,294.69963154161724,33540.9294919844,964.6236590460259,
10000,0.0,1.0088700566643938,0,289,0.0,3692.9204152249135,159.7661479787442,3417.453287197232,92.58105247901251,1672.9584775086505,62.427466609669445,8481.363321799308,288.5358867847603,33552.432349702314,973.1616540834137,
11000,0.0,0.9661193426153107,0,293,0.0,3687.3037542662114,163.55477280116892,3418.566552901024,93.66631559164381,1671.5597269624573,62.773828941091786,8482.808873720136,290.266508685728,33534.19955596946,984.3438374193311,
12000,0.0,0.962925471644773,0,298,0.0,3691.05033557047,170.09845397155013,3422.2248322147652,95.5156956117335,1670.006711409396,63.82983845432038,8468.365771812081,291.05032620747596,33488.2696598815,1005.9688728740548,
13000,0.0,0.965273152591365,0,292,0.0,3691.3082191780823,181.41846219609454,3425.109589041096,97.51333756948686,1668.5753424657535,64.14990317169243,8459.955479452055,297.4843061431687,33457.36736735203,1024.0231449710916,
14000,0.0,0.9030975509097752,0,295,0.0,3684.413559322034,181.12117440030246,3426.5491525423727,97.60169902119627,1666.413559322034,63.516381065063925,8462.172881355933,299.8549716285222,33441.3791286157,1029.0649674843737,
15000,0.0,0.9281327818800859,0,295,0.0,3682.006779661017,183.0693485942258,3427.4406779661017,98.15029485030283,1664.3932203389832,63.2389170685449,8465.905084745762,305.21150955913447,33427.64479668859,1033.763562315317,
16000,0.0,0.9634713247954868,0,294,0.0,3674.8673469387754,181.89676958131426,3426.6598639455783,97.95691796321603,1662.2925170068027,63.081764335058494,8479.778911564626,314.827436964255,33429.723802398665,1031.5209528621538,
17000,0.0,0.9829485983645201,0,299,0.0,3667.0133779264215,179.9877174041296,3425.628762541806,98.07910588999611,1663.0401337792641,63.303048751643935,8478.638795986622,315.05628838254665,33435.6940195776,1033.435426357462,
