TIME,HV,SPREAD,CORRECT,TOTAL,%CORRECT,OBJ1-MEAN,OBJ1-STDEV,OBJ2-MEAN,OBJ2-STDEV,OBJ3-MEAN,OBJ3-STDEV,OBJ4-MEAN,OBJ4-STDEV,OBJ5-MEAN,OBJ5-STDEV
100,1.0,0.6837435184457042,0,229,0.0,1213.6768558951965,116.0085090866511,819.759825327511,21.13584574875918,425.9694323144105,14.435035318831023,1973.7903930131004,82.48752555854314,8216.534693839269,222.37860479387226,
200,1.0,0.8500574043513758,0,284,0.0,1163.8239436619717,105.19316901292949,821.7007042253521,25.90105494746092,422.25704225352115,16.43770098848823,1979.4788732394366,105.27754855483825,8187.486169869644,266.56758353644295,
300,1.0,0.9462640425281174,0,270,0.0,1140.1444444444444,131.56169326898492,822.7740740740741,30.173401244493135,419.72962962962964,17.684190780652923,1987.3555555555556,127.47920479168742,8166.787972033519,320.1076977526995,
400,1.0,1.020945048470841,0,281,0.0,1122.2989323843417,144.43093498647235,823.6512455516014,31.571408191187476,418.7864768683274,19.180096872990354,1986.508896797153,132.6662554310616,8161.768278984768,341.9266888740957,
500,1.0,1.030918436761254,0,288,0.0,1108.9131944444443,143.8425889000271,824.7743055555555,31.07329651746322,417.25694444444446,18.76897059857697,1989.4340277777778,131.86865764801018,8144.347108522825,341.9227150208336,
600,1.0,1.0161865168616888,0,283,0.0,1099.3674911660778,139.635135110437,823.8480565371025,32.15776406265166,419.3250883392226,20.132782881334773,1980.8480565371024,133.91129475781403,8151.889951994873,355.4180305670213,
700,1.0,0.9742399196082242,0,283,0.0,1091.0989399293287,133.3373366111881,822.8162544169611,33.24852584365599,419.35335689045934,20.907220954124256,1981.6042402826856,135.90471192739957,8165.4884243154,361.8218366543453,
800,1.0,0.9880428314532174,0,284,0.0,1085.5492957746478,139.0267011270304,823.3133802816901,34.08952118717537,418.88380281690144,21.85508977146663,1978.5457746478874,137.19594300824295,8162.5811577401055,372.4057434538943,
900,1.0,0.9548249968490392,0,277,0.0,1065.4223826714801,135.2090717112696,820.5956678700361,35.4442010655465,420.0469314079422,23.405419926151346,1985.28880866426,133.56782637665793,8188.731075402842,384.31797989587324,
1000,1.0,0.9950065377484069,0,265,0.0,1050.2981132075472,133.7260145879331,817.8981132075472,37.62266724701528,421.811320754717,25.464037981653224,1988.920754716981,132.0578394699389,8212.412134840964,408.1824909607714,
1100,1.0,1.0005590117384566,0,276,0.0,1046.105072463768,133.57251128646033,819.1702898550725,37.62125306957066,420.9710144927536,25.05456133917216,1984.5,132.1086920748939,8193.751277817359,409.61489990755405,
1200,1.0,1.0138933607899778,0,284,0.0,1038.7429577464789,131.07714957439197,818.7746478873239,37.86296536198368,422.09154929577466,24.97799170130915,1979.3521126760563,133.85609243307564,8191.889914127904,412.1301083505181,
1300,1.0,0.9834011173477809,0,291,0.0,1037.8109965635738,134.04754509661691,820.3333333333334,38.741041162211765,421.49828178694156,25.843751306337612,1975.2611683848797,137.29124923874502,8177.245463674043,416.8585077382928,
1400,1.0,0.9602459134307473,0,288,0.0,1028.263888888889,125.2825964520429,820.3298611111111,39.13614338977659,421.5763888888889,26.10517718478013,1973.4027777777778,139.8317599953424,8178.2020655112765,421.34977915397945,
1500,1.0,0.9801034252331183,0,288,0.0,1021.3645833333334,116.81661076754149,821.34375,39.27038433651369,420.0520833333333,26.51664956198382,1974.267361111111,139.1625549940813,8170.966397188295,421.9594133194952,
1600,1.0,1.0195068905549765,0,288,0.0,1017.4826388888889,110.33197873656192,822.0069444444445,39.29517862137544,419.9236111111111,27.308443917259336,1968.326388888889,135.78623057857394,8163.229283925747,418.74526654239213,
1700,1.0,0.9916475600650551,0,289,0.0,1019.7093425605536,114.97214323019708,823.4844290657439,39.67873494305174,419.121107266436,27.27869501171431,1963.7024221453287,137.1718848025804,8143.50366714221,423.5285341958309,
1800,1.0,0.982131465174322,0,290,0.0,1016.0310344827586,112.19470023579012,822.4827586206897,40.5152339928262,419.4068965517241,28.07023126858875,1965.9551724137932,138.14168660000644,8148.315395245813,431.12500159967436,
1900,1.0,0.9932757059012391,0,284,0.0,1011.306338028169,104.6765028147174,822.8521126760563,40.02410315753206,419.63380281690144,28.494990632958388,1959.5352112676057,136.27319091803614,8143.032201529131,422.59506839555644,
2000,1.0,0.9807252116613185,0,287,0.0,1000.5505226480836,91.98699001749893,821.9094076655052,40.206593865204184,420.2369337979094,29.15630641625963,1960.8606271777003,135.07040911473536,8152.143824537212,421.8766547759494,
3000,1.0,0.9659524747593211,0,285,0.0,992.8245614035088,89.01979334543397,820.9263157894737,40.15257972230947,419.71228070175437,28.326443353234687,1967.901754385965,140.4253594471793,8163.059749567492,420.03528073323895,
4000,1.0,0.9816834032180264,0,289,0.0,991.6955017301038,91.70313175802251,821.3702422145328,41.199295526069925,419.8269896193772,28.40313774036529,1963.5501730103806,143.907259670189,8158.771401386413,429.9790134750116,
5000,1.0,1.0065659109492844,0,282,0.0,983.4007092198582,99.08173643992576,822.2872340425532,41.83239667408999,417.6241134751773,27.76332061789087,1970.2836879432625,145.88883002760912,8148.515542358994,438.89983733769805,
6000,1.0,0.9899416598971131,0,284,0.0,965.8028169014085,102.6818030038497,820.8943661971831,44.12310048522519,418.52464788732397,28.990578087264204,1968.1338028169014,150.92826525119733,8145.870173294146,463.82565510169115,
7000,1.0,0.9904303337360266,0,285,0.0,945.1578947368421,107.48352619162343,819.7543859649123,48.2923410082961,418.43859649122805,29.497914017155455,1972.178947368421,164.6688316536867,8147.853502220831,505.7328610255554,
