TIME,HV,SPREAD,CORRECT,TOTAL,%CORRECT,OBJ1-MEAN,OBJ1-STDEV,OBJ2-MEAN,OBJ2-STDEV,OBJ3-MEAN,OBJ3-STDEV,OBJ4-MEAN,OBJ4-STDEV,OBJ5-MEAN,OBJ5-STDEV
100,1.0,0.9592411272429988,0,291,0.0,307.64948453608247,33.683704005673974,273.2061855670103,15.304203863541426,132.66323024054984,10.542174597095666,694.553264604811,53.70909054218038,2657.3060860960118,154.59379365053675,
200,1.0,1.0268157697709306,0,280,0.0,306.6892857142857,41.366738184938214,274.8285714285714,19.338873824923883,131.26071428571427,12.20859882230887,690.8678571428571,62.65711995553615,2640.3435532544036,194.95057272712424,
300,1.0,1.0424868027466727,0,268,0.0,300.5858208955224,39.66120637966413,274.73880597014926,20.159042674675,131.4179104477612,12.360443953930174,690.4664179104477,69.08713667776954,2635.596428830365,209.555493193724,
400,1.0,1.046584775375165,0,266,0.0,301.687969924812,40.393138585048995,276.7368421052632,20.359326523582883,130.75187969924812,12.324500944638674,683.4624060150376,70.98364007375828,2616.542301388232,212.16823576286615,
500,1.0,1.0459186153430426,0,268,0.0,299.4514925373134,39.62145362457783,276.23880597014926,20.316958251769474,130.88432835820896,12.251624043900318,684.1380597014926,71.70180506770092,2620.0578850868674,212.76657204909668,
600,1.0,1.037752635882195,0,263,0.0,298.74524714828897,39.39475228794632,276.93536121673003,20.02279130485017,130.25475285171103,12.110067388881541,682.3231939163499,70.80121394088043,2613.1511567056978,205.3278966331743,
700,1.0,1.0298398918353209,0,267,0.0,298.03370786516854,39.031183952176804,277.15355805243445,20.75437809684271,130.04868913857678,12.457022302648557,682.2621722846442,73.21830392557662,2609.8145723201133,211.32799503777954,
800,1.0,1.0463715766060382,0,282,0.0,296.677304964539,40.18289899273307,276.47872340425533,21.45260092188277,130.27659574468086,12.700648547118716,683.7056737588653,76.32955263923884,2614.398104449506,218.5837764232924,
900,1.0,1.0318518389591418,0,285,0.0,294.3228070175439,40.208853950097854,275.64912280701753,21.92578489108614,131.09122807017545,13.131938843525326,682.7508771929824,76.90366067715061,2620.667243947802,225.06149954589677,
1000,1.0,1.0121563878323485,0,281,0.0,294.06405693950177,41.2553392198661,275.70462633451956,22.795117475728432,131.17081850533808,13.69154357704857,681.8220640569396,78.17684813518495,2618.469701798022,233.58969652261047,
1100,1.0,1.020470167817337,0,277,0.0,292.1913357400722,42.24839984604788,274.54512635379064,23.603882529605148,131.4620938628159,13.884886725150139,684.3465703971119,79.98701901095878,2626.0857958636902,243.00650081222508,
1200,1.0,1.0191474382521735,0,275,0.0,288.88,39.168310010656704,274.1127272727273,22.94653908977011,131.98545454545456,13.864007267765691,681.5309090909091,78.99833110487445,2627.2849796121636,237.15633676531718,
1300,1.0,1.0240132545971592,0,279,0.0,287.42293906810033,40.564833419580246,273.82078853046596,23.943559637692523,132.00716845878136,14.550614376057304,682.763440860215,81.96385222786597,2630.3749877518867,248.97240230626932,
1400,1.0,1.0432174364230822,0,280,0.0,285.5642857142857,39.56002865705407,273.5392857142857,24.112057435555144,132.18928571428572,14.746787526337346,682.3464285714285,82.14058933204902,2629.3830109133487,251.29528089923727,
1500,1.0,1.0351088599442715,0,282,0.0,285.4574468085106,40.04217587494919,273.9255319148936,24.365089268699112,132.1595744680851,15.228265426634405,680.3297872340426,80.52747933670544,2623.313201360205,255.3164283023617,
1600,1.0,1.039571270407334,0,276,0.0,277.32971014492756,37.576250804912206,270.2608695652174,23.612605435989916,134.21014492753622,14.660136671442487,687.6485507246376,81.02341112341246,2658.9616023984945,249.3392583219291,
1700,1.0,1.0424696351500504,0,281,0.0,276.7473309608541,37.698422165940784,270.34519572953735,23.9352266499349,134.58007117437722,15.045890466295432,684.0035587188612,82.24953344828214,2656.6711620561587,252.85380529132158,
1800,1.0,1.04342898507475,0,280,0.0,276.6642857142857,37.18411925123137,271.0464285714286,23.868418795896943,134.32857142857142,15.148051669695187,680.7571428571429,82.36533350424382,2647.8944887946755,252.19790359119514,
1900,1.0,1.038862842155817,0,282,0.0,273.6843971631206,36.1843639748966,269.8191489361702,23.956948428359873,134.36879432624113,15.236160490412708,685.4113475177305,83.17605620089564,2655.2366392822278,252.07844300162753,
2000,1.0,1.0367240097732402,0,281,0.0,273.70818505338076,35.17339211785062,270.62633451957294,23.476479114586887,133.4982206405694,15.415277478917757,683.4306049822064,83.5650256490934,2644.7549628281,245.02401383190605,
3000,1.0,1.03993741509438,0,286,0.0,270.5979020979021,35.264770686094955,269.2062937062937,24.23232747085999,134.12587412587413,15.633640942883671,686.8566433566433,85.21501235106223,2658.992091423473,253.70368591957435,
4000,1.0,1.0518666769981644,0,288,0.0,271.46180555555554,37.72992383103264,270.81944444444446,25.49173416624435,132.86458333333334,16.369827294743278,680.4479166666666,88.08875769228916,2640.619823890809,265.15006168218065,
5000,1.0,1.0667652266124312,0,293,0.0,268.8873720136519,43.10299132324549,271.0887372013652,29.097323618333863,131.80546075085323,18.010606588962645,678.4778156996587,95.11234789907087,2631.543487911337,299.2910884361686,
6000,1.0,1.0504297651449963,0,286,0.0,268.65034965034965,45.42130037603252,271.84965034965035,30.308353239684948,129.71328671328672,19.09769596824229,681.034965034965,96.74697823924706,2617.4408904839993,310.84336773490367,
7000,1.0,1.0462653005012117,0,291,0.0,266.25773195876286,44.74470039471368,272.29896907216494,31.634998979756848,129.34364261168386,19.70221922529245,677.1786941580756,103.58078189353579,2608.733239673204,330.75521570498006,
8000,1.0,1.0721550021522086,0,274,0.0,262.5109489051095,45.0707662206082,270.75912408759126,33.083840752560874,129.93430656934308,21.252635518682315,681.9452554744526,113.80499679279342,2622.285388770478,346.58114619340904,
