TIME,HV,SPREAD,CORRECT,TOTAL,%CORRECT,OBJ1-MEAN,OBJ1-STDEV,OBJ2-MEAN,OBJ2-STDEV,OBJ3-MEAN,OBJ3-STDEV,OBJ4-MEAN,OBJ4-STDEV,OBJ5-MEAN,OBJ5-STDEV
100,0.0,0.5538666015204545,0,246,0.0,6820.178861788618,1135.0835901493542,5626.6056910569105,52.16845572268667,2821.9471544715448,38.07941599863733,14048.341463414634,201.80614658902354,56614.85685652186,554.24826402052,
200,0.0,0.8444101452909397,0,296,0.0,6169.243243243243,679.3732716144169,5640.543918918919,59.282917331595414,2814.5675675675675,41.74927773483715,14004.118243243243,223.51426024316427,56437.41705561042,629.1262102992984,
300,0.0,1.006490706931469,0,295,0.0,6065.274576271187,613.2048701237334,5655.905084745763,65.65387779149542,2801.935593220339,46.97109736167502,13963.57966101695,249.742659945183,56257.900378488055,695.8157724657901,
400,0.0,1.0043239285654546,0,297,0.0,5928.872053872054,541.3279193702475,5658.986531986532,71.37207354831217,2799.2020202020203,52.2924268740388,13959.377104377105,267.65387823274574,56212.888327264365,738.9956359385968,
500,0.0,1.0611128734276876,0,298,0.0,5685.4295302013425,323.9445899887832,5663.040268456376,75.17129246372038,2800.526845637584,54.87888694508916,13934.51677852349,254.29874900464364,56165.37429700087,752.7516431212471,
600,0.0,1.0091386422615194,0,294,0.0,5627.265306122449,266.7960143745233,5664.867346938776,73.53845369514393,2799.0476190476193,55.16127663415068,13929.547619047618,261.8679032505405,56129.69605601175,737.1161360995959,
700,0.0,0.9961762311220375,0,292,0.0,5608.023972602739,246.77251484484376,5673.174657534247,74.46250533137588,2793.541095890411,55.774942416274634,13918.59589041096,273.927699659318,56035.51163316963,741.6825455392305,
800,0.0,1.001190421248812,0,290,0.0,5514.334482758621,207.1993089721236,5668.8448275862065,76.10840764741728,2797.2344827586207,53.437364403454986,13927.286206896551,285.6427672800511,56066.63293353378,794.1152130320648,
900,0.0,0.9038357768258104,0,294,0.0,5489.700680272109,201.9116940060877,5671.408163265306,78.25475188040978,2796.095238095238,52.34667709773564,13917.34693877551,301.92945639716703,56032.72653231315,820.132445007057,
1000,0.0,0.936845225945256,0,297,0.0,5515.215488215488,212.22328157296198,5676.73063973064,80.86906845589408,2792.2255892255894,56.70639978140003,13905.72053872054,318.3636603287058,55957.289778306236,832.6714474481552,
1100,0.0,0.8847287696621898,0,295,0.0,5445.379661016949,178.81217755109157,5668.267796610169,81.06912396989848,2797.328813559322,54.43687387768891,13919.057627118644,331.35787412842893,56037.050010487874,861.9320948940027,
1200,0.0,0.899591179059814,0,298,0.0,5420.687919463087,166.72595342458175,5664.077181208054,81.10841251050273,2795.2348993288592,55.3799432186049,13952.902684563758,338.9297019718088,56074.47718716417,881.8056020058348,
1300,0.0,0.9186407177999435,0,295,0.0,5416.15593220339,174.59835581883198,5665.6949152542375,80.94883385793102,2792.8847457627116,53.90173360804187,13951.728813559323,341.69273691126995,56047.57165015155,891.087673661898,
1400,0.0,0.8818275380185622,0,296,0.0,5434.449324324324,188.30677995739248,5670.851351351352,81.6889175771757,2790.5236486486488,54.73671116215812,13931.422297297297,345.05382567208073,55970.58133916236,907.8831481716435,
1500,0.0,0.8965030008206003,0,295,0.0,5399.583050847457,174.02450358590153,5664.35593220339,81.30081466264019,2789.5525423728814,54.24067319945024,13969.037288135592,359.3336799200004,56036.82893912693,908.7203689059138,
1600,0.0,0.8537149813903764,0,299,0.0,5402.180602006689,175.19375081908314,5667.494983277592,81.23640596285793,2784.4916387959865,55.6666117993605,13981.040133779265,377.4795727197934,55988.01375355569,902.2250769375878,
1700,0.0,0.8572121052212612,0,295,0.0,5387.959322033898,168.61348350555883,5665.427118644067,80.1194909113955,2782.2677966101696,56.37946026003503,13999.847457627118,378.9804347867624,55994.93830333531,892.5523193915265,
1800,0.0,0.8734109737081395,0,298,0.0,5420.338926174497,184.3578076362127,5676.3691275167785,83.04396417854275,2779.986577181208,59.04724380558326,13950.654362416108,383.3086766673641,55861.40386884466,911.3211402656332,
1900,0.0,0.8579954523519595,0,298,0.0,5383.221476510067,172.2053108035895,5668.674496644296,82.59270622392104,2779.6644295302012,56.45050225233019,13988.338926174496,382.2906005251156,55947.54482600554,913.4856377631621,
2000,0.0,0.930842778605445,0,297,0.0,5372.993265993266,174.40774226138507,5668.0841750841755,83.2080451226987,2779.0875420875423,56.181395841860414,13992.390572390572,382.3330237579554,55948.76250964214,927.013990516971,
3000,0.0,0.8558240573458401,0,297,0.0,5377.8249158249155,178.93665428829433,5670.861952861953,84.50536093741484,2777.350168350168,57.6558810048877,13982.814814814816,385.83421718080496,55915.981277556195,942.3738372743827,
4000,0.0,0.9006588763322708,0,296,0.0,5352.02027027027,172.1086225832237,5665.875,84.15832037602411,2780.5472972972975,57.46942012455105,13988.118243243243,392.88384081034286,55967.58458065643,939.9944612339739,
5000,0.0,0.9433245471606481,0,294,0.0,5323.721088435374,162.83307183483657,5659.255102040816,82.60457950744521,2781.9149659863947,56.94599644148067,14012.340136054421,378.1247229105391,56040.55159461493,928.7834337059018,
6000,0.0,0.8534769514320181,0,294,0.0,5345.527210884354,172.90181715417,5668.414965986394,84.90641855639461,2782.792517006803,61.478892554429606,13953.251700680272,379.2026066878712,55928.885495418086,951.3818154090048,
7000,0.0,0.910375856801596,0,297,0.0,5312.104377104377,159.80684641985496,5658.2356902356905,83.40747210517023,2789.2323232323233,63.868999179717505,13968.811447811448,382.90785979728435,56049.81501328604,946.3521055111576,
8000,0.0,0.8235277716069221,0,298,0.0,5341.8691275167785,175.35367804125042,5668.597315436242,88.36075531615516,2786.3053691275168,68.61191346376405,13925.81543624161,378.089096993127,55932.249354204585,1011.5917460768137,
9000,0.0,0.8630432760061715,0,294,0.0,5305.9047619047615,161.7911365992778,5654.9795918367345,87.37108827581393,2793.561224489796,69.35294720179854,13953.659863945579,391.45414404818655,56091.58272636597,1004.2269223495462,
10000,0.0,0.8804080870251471,0,299,0.0,5300.42474916388,165.06750475671862,5656.026755852843,87.49520361346558,2793.153846153846,69.26544653627309,13947.177257525083,391.4479407518963,56078.9685523458,1004.1065024432037,
11000,0.0,0.8812895116515628,0,298,0.0,5290.557046979866,163.1610717550179,5653.392617449665,88.55288989024616,2793.788590604027,69.70156135310445,13950.704697986577,391.0477408392902,56103.899434464,1017.4717064203802,
12000,0.0,0.9481504260861573,0,294,0.0,5280.272108843537,157.8917677097788,5650.197278911564,89.43151063599727,2793.5646258503402,70.0989648362836,13964.93537414966,400.27153951699955,56132.81612706057,1031.145045508748,
13000,0.0,0.9208386220252748,0,298,0.0,5312.835570469799,176.65684461170608,5665.1308724832215,92.91913739305616,2786.963087248322,71.13977625046023,13918.077181208053,396.4483988733408,55951.96163392912,1063.974075062754,
14000,0.0,0.9510111587007696,0,297,0.0,5297.6127946127945,173.80524794551587,5661.2659932659935,93.07413479290454,2789.2929292929293,70.88696163947557,13919.6734006734,399.2350822618641,55993.12507554682,1061.7911746727023,
15000,0.0,0.9742219762345874,0,294,0.0,5276.826530612245,161.1590053655468,5654.350340136054,91.79993247233429,2793.122448979592,71.56966046282744,13928.969387755102,397.20661840199284,56072.399232107375,1047.7639526466119,
16000,0.0,0.9187676677419242,0,297,0.0,5314.740740740741,183.2580289515547,5669.949494949495,97.04950734985368,2785.3838383838383,74.391000922581,13887.255892255893,398.35748015306655,55888.41647397147,1101.1366746262197,
17000,0.0,0.8973742990824821,0,297,0.0,5311.585858585859,186.6546177623445,5668.838383838384,99.33086300270816,2785.7811447811446,75.20626573247392,13887.286195286195,403.68222940164503,55897.20778036137,1125.1123480297858,
18000,0.0,0.8777044477498722,0,297,0.0,5272.47138047138,166.36259136952998,5653.888888888889,96.33096242116372,2790.5420875420878,74.5008919998511,13933.95622895623,401.42754704326546,56060.36301783756,1096.825440107646,
19000,0.0,0.8764863174327151,0,299,0.0,5260.658862876254,163.23470600393748,5650.665551839465,96.71314954508298,2792.0,74.90689873610354,13940.66889632107,402.36434270869137,56092.617819623905,1099.6510378218006,
20000,0.0,0.8163710402085825,0,299,0.0,5280.414715719064,177.03853835926253,5661.444816053512,99.76862596682038,2786.3645484949834,77.4257064164984,13912.421404682274,407.8129403592391,55974.96496907689,1130.8276230041054,
30000,0.0,0.8809605496857652,0,298,0.0,5202.627516778523,176.24326970216518,5651.607382550335,108.57003838116923,2787.6510067114095,86.15982699365833,13912.76845637584,435.8580329775282,56078.923690334974,1222.724371091552,
40000,0.0,0.999219915242526,0,297,0.0,5169.461279461279,199.93091234934408,5670.636363636364,125.88740529682109,2781.717171717172,95.53228943483323,13830.885521885522,478.8211467745185,55823.83096571097,1383.934190484226,
50000,0.0,0.9706340484697881,0,298,0.0,5123.244966442953,231.4618492159098,5677.355704697987,144.23778251102593,2775.6644295302012,93.7572626798131,13810.721476510067,560.5357153620793,55711.704162582886,1582.808833175564,
60000,0.0,1.027669661635132,0,298,0.0,5075.9697986577185,237.86239556118807,5683.979865771812,159.78868049209493,2769.1778523489934,98.1014673628448,13796.805369127516,624.010257163292,55615.745382519635,1735.778727451339,
70000,0.0,0.920764205930694,0,300,0.0,5106.85,280.3499494679224,5719.676666666666,180.8802885581757,2748.443333333333,115.62075991024375,13703.36,677.5264106045361,55214.90391539582,1952.8194022038228,
80000,0.0,1.1025452901908748,0,297,0.0,5038.912457912458,291.32770331745184,5706.818181818182,201.02052914425178,2751.5151515151515,128.92385691384933,13731.397306397306,703.3197449925943,55337.628319590585,2158.4295095034586,
90000,0.0,1.1269516425120103,0,296,0.0,5020.550675675676,317.5232766519011,5720.540540540541,215.5015011667279,2738.7364864864867,135.34929094985387,13703.047297297297,758.1029295663086,55153.9845379566,2321.894756048885,
100000,0.0,1.0943334825288753,0,297,0.0,5007.73063973064,334.85456137955646,5730.222222222223,230.52610983925587,2731.4949494949497,144.05538406528265,13672.734006734006,805.9340190439267,55033.28541401427,2472.798313950291,
110000,0.0,1.0904444149992196,0,295,0.0,4988.850847457627,356.4868002752251,5731.406779661017,247.75676416865875,2727.277966101695,151.9253519507353,13668.250847457628,883.4256425354159,55001.57141275644,2620.4323279662726,
120000,0.0,1.1113401319885539,0,299,0.0,4978.040133779265,391.12418166048076,5740.060200668896,268.6687789153021,2723.371237458194,160.65632311239347,13627.52508361204,932.7169765802021,54930.66424063165,2840.422948501967,
180000,0.0,1.1087079017869332,0,297,0.0,4820.2053872053875,454.41016814518906,5709.407407407408,347.4061155238627,2734.3232323232323,206.04609475542813,13606.888888888889,1162.3529592149434,55132.030281572384,3732.8224032787944,
240000,0.0,1.16088405145602,0,298,0.0,4718.6308724832215,521.0704695285227,5689.879194630873,417.0729727526033,2720.010067114094,242.98376620035387,13720.724832214764,1371.6681993524908,55223.554823333136,4417.594446327449,
300000,0.0,1.1112504207848075,0,298,0.0,4659.097315436242,589.5047351901297,5691.312080536913,477.9925583387414,2717.922818791946,273.65779360871966,13647.278523489933,1548.6852877235076,55098.813036236956,5041.724203112016,
