TIME,HV,SPREAD,CORRECT,TOTAL,%CORRECT,OBJ1-MEAN,OBJ1-STDEV,OBJ2-MEAN,OBJ2-STDEV,OBJ3-MEAN,OBJ3-STDEV,OBJ4-MEAN,OBJ4-STDEV,OBJ5-MEAN,OBJ5-STDEV
100,1.0,0.7317576754840509,0,239,0.0,434.9205020920502,69.64835433570983,341.3389121338912,13.412906436249871,177.20502092050208,9.914056200930615,837.6108786610879,55.56551456480348,3435.0756077512415,143.64086676200552,
200,1.0,0.9389465329481351,0,296,0.0,407.2668918918919,60.9672019586268,344.0777027027027,15.440077374061946,175.5777027027027,11.519990386550191,830.1385135135135,64.07742679616112,3397.147020949559,159.65886519689718,
300,1.0,1.0489711144405636,0,280,0.0,383.75357142857143,46.960621665869134,346.1928571428571,16.46246658682862,174.12142857142857,11.422076279320335,826.0571428571428,71.1834422389055,3361.21235288281,166.53292538203496,
400,1.0,1.0635350991210482,0,281,0.0,361.0889679715302,37.200752671025214,345.6014234875445,16.919461664812623,174.76868327402136,12.03464222853026,824.9395017793594,74.97918979452155,3370.5150221487197,173.29584797034087,
500,1.0,1.0432919582060054,0,266,0.0,356.56390977443607,36.64826789359739,345.0676691729323,17.25295898723942,175.05263157894737,12.289928506661559,826.281954887218,78.51856380719039,3375.892426835654,179.58171773551697,
600,1.0,1.066290107907972,0,288,0.0,352.2986111111111,36.24465091973172,345.9826388888889,17.307764915482263,174.36111111111111,12.386490799293705,823.5416666666666,79.1807333993987,3370.7953170916244,185.35649016072787,
700,1.0,1.0439581416523078,0,282,0.0,352.4255319148936,40.616566169632094,347.3900709219858,18.793492554773255,174.41843971631207,13.189645642527477,814.5390070921986,79.92421212699269,3355.888309752378,205.472392401485,
800,1.0,1.0428671908265554,0,277,0.0,346.1335740072202,42.102507611236994,347.39350180505414,18.884037946938264,174.45848375451263,13.547452711019782,812.7942238267148,79.3090029251104,3356.772382117279,210.424206188445,
900,1.0,1.0562392791464972,0,283,0.0,343.75265017667846,42.995713711603905,347.6042402826855,19.294415504298428,174.64310954063603,14.04950284743505,808.8727915194346,82.8936357191398,3355.0358362355255,214.83284639302735,
1000,1.0,1.0627348905353495,0,281,0.0,337.83629893238435,41.34708868694059,347.2455516014235,19.600644275443134,174.47686832740214,14.73322674310693,809.1352313167259,83.45422725668574,3361.6220935601773,214.98633484236922,
