TIME,HV,SPREAD,CORRECT,TOTAL,%CORRECT,OBJ1-MEAN,OBJ1-STDEV,OBJ2-MEAN,OBJ2-STDEV,OBJ3-MEAN,OBJ3-STDEV,OBJ4-MEAN,OBJ4-STDEV,OBJ5-MEAN,OBJ5-STDEV
100,0.0,0.5985483662149058,0,234,0.0,9871.008547008547,796.6229576650958,7447.2008547008545,66.54198468459754,3728.777777777778,48.67151558406376,18654.508547008547,246.8705713259029,75016.70137730002,694.7295583808728,
200,0.0,0.8039900869108794,0,296,0.0,9371.72972972973,599.7079592713777,7460.141891891892,78.29077904138668,3720.675675675676,54.97237834858719,18610.888513513513,284.47396523247545,74873.3484441622,821.4555775507883,
300,0.0,0.9986081628312106,0,292,0.0,9127.554794520547,454.68283437388845,7466.869863013699,84.23005545793609,3719.544520547945,61.33616168500909,18563.59931506849,323.4618719451654,74728.12019452942,909.4531442530134,
400,0.0,1.0354325235369068,0,295,0.0,8979.484745762711,417.75655745030724,7473.247457627119,92.8410877698129,3714.8101694915254,64.30813980931171,18538.8406779661,335.1278911550766,74626.05639041509,1011.4950757068572,
500,0.0,1.0324821628272656,0,293,0.0,8875.774744027303,438.24606648406655,7475.481228668942,104.96625732418667,3715.849829351536,70.65494174851638,18529.50853242321,319.39906901172947,74599.1926761217,1124.1276699822868,
600,0.0,1.0129750974689231,0,296,0.0,8837.912162162162,440.21402855107056,7478.641891891892,105.55592920824171,3714.6047297297296,71.8007931470717,18519.067567567567,322.1791230457302,74567.53168789593,1119.0127969541998,
700,0.0,1.0124172974887722,0,294,0.0,8773.904761904761,418.0785792320606,7477.438775510204,104.1708499507084,3717.8673469387754,72.46105748707329,18500.56462585034,316.886899457818,74550.17518466286,1091.893785716779,
800,0.0,0.9777028469708579,0,297,0.0,8761.983164983165,411.59911078549544,7481.521885521885,102.88302186313639,3717.020202020202,71.21362273651614,18471.27946127946,320.22004116442514,74489.16455994816,1070.6930117013515,
900,0.0,0.9729711371127046,0,295,0.0,8716.840677966102,399.71140229541135,7479.901694915255,102.15000848955133,3721.8,71.58167552653708,18449.769491525425,327.9831864511604,74483.8984513636,1072.1424079720775,
1000,0.0,0.9876800628532909,0,295,0.0,8704.35254237288,411.6277375954433,7485.186440677966,102.72921037174581,3720.1220338983053,71.54227402126973,18429.274576271186,326.73548498784794,74430.73625903552,1073.605538848702,
1100,0.0,0.9871394414026758,0,295,0.0,8645.19661016949,406.32113289780597,7483.135593220339,103.64215777720901,3720.762711864407,71.58381101495958,18427.335593220338,323.9316823572796,74439.10374323916,1088.4570476510976,
1200,0.0,1.0439489498634917,0,299,0.0,8619.244147157191,410.8278906997201,7487.484949832776,105.94598046569277,3717.361204013378,73.1358517367009,18421.24414715719,322.41353188516666,74383.34785288079,1109.3370100060886,
1300,0.0,1.0025475601768554,0,297,0.0,8556.380471380471,400.8611185763841,7484.6734006734005,105.63142387558851,3716.7138047138046,72.39683646846731,18434.535353535353,316.84895273795314,74402.53175732063,1094.6274548021156,
1400,0.0,0.9740600049139743,0,297,0.0,8473.077441077441,370.4363575743889,7482.757575757576,104.45904495177778,3715.841750841751,72.3657833995844,18449.043771043773,296.263012363795,74395.41093399009,1060.3986168932306,
1500,0.0,0.9676768703321073,0,296,0.0,8476.797297297297,372.56891180927784,7488.027027027027,102.50302869262661,3713.5945945945946,72.11400863252484,18426.388513513513,299.38815039642157,74332.7965595477,1044.1549098487344,
1600,0.0,0.9141554193029916,0,296,0.0,8446.635135135135,358.67922408825024,7486.168918918919,103.41286895932646,3714.7364864864867,72.60620008207238,18426.888513513513,301.8372868051568,74352.63522130082,1062.5178084299494,
1700,0.0,0.919680001986191,0,292,0.0,8412.438356164384,348.3124084371248,7485.558219178082,103.63248436666349,3714.3972602739727,72.66982749470607,18430.41095890411,303.93088325754366,74355.66053737316,1059.7431076293885,
1800,0.0,0.9412014064299238,0,297,0.0,8384.902356902357,345.00062054475086,7487.057239057239,102.6983754479589,3713.0875420875423,73.46424779024333,18426.367003367002,295.92793619901244,74334.03084145687,1049.155004497415,
1900,0.0,0.8755421079021297,0,296,0.0,8367.587837837838,348.0986468807225,7486.844594594595,105.12484295311329,3712.4054054054054,73.25283297149102,18426.52364864865,307.39225663757617,74339.1277498865,1075.9547793295865,
2000,0.0,0.8864095119801799,0,297,0.0,8338.680134680135,333.18114006790887,7487.127946127946,105.49698222896225,3710.3703703703704,73.69422811024744,18427.417508417508,312.426283447917,74329.61403257334,1082.8215849948263,
3000,0.0,0.8502260780040084,0,291,0.0,8313.6735395189,326.8021984759418,7486.625429553264,107.43910881275364,3709.237113402062,76.3461244518366,18434.91408934708,315.89507834586436,74324.2753922762,1116.9436902033829,
4000,0.0,0.8363021004826613,0,294,0.0,8283.833333333334,318.09498235661226,7486.959183673469,108.82075867085727,3708.391156462585,77.57524363605445,18435.95238095238,325.16817905693324,74312.10799585188,1132.7216509205637,
5000,0.0,0.8386802939016078,0,294,0.0,8255.438775510203,315.48467408876655,7487.568027210885,110.72795828718348,3707.112244897959,78.78760943881265,18441.336734693876,328.76968999396144,74298.4360161348,1150.7633062249172,
6000,0.0,0.8529902892484686,0,293,0.0,8229.351535836178,296.7382799673518,7488.511945392492,109.41799504138963,3707.9078498293516,78.39678791100074,18431.139931740614,330.62741712013417,74271.94365748833,1136.0354504171783,
7000,0.0,0.8289591949438461,0,296,0.0,8212.152027027027,284.6427476323171,7488.635135135135,111.60437174479007,3709.8344594594596,78.83104770847538,18426.50337837838,342.5540201856393,74257.47530139345,1167.3417423901635,
8000,0.0,0.8160271144717535,0,297,0.0,8155.185185185185,262.1638576641901,7486.956228956229,107.95653868901081,3708.710437710438,77.71399471928649,18445.535353535353,328.29605940702584,74267.67751040614,1127.8585690516857,
9000,0.0,0.883793723936506,0,297,0.0,8073.474747474747,240.87787020025098,7487.895622895623,105.29374918391196,3700.872053872054,74.68801863823171,18490.88552188552,299.45684898358707,74247.85854626723,1073.1506794730062,
10000,0.0,0.8783716771744623,0,293,0.0,8075.6928327645055,254.5162872206336,7494.481228668942,105.04075508031114,3700.873720136519,73.37547384931221,18454.798634812287,314.14394821946564,74181.53562010407,1062.7522394584794,
11000,0.0,0.9651753830179307,0,293,0.0,8082.208191126279,268.7503015338656,7507.163822525597,109.55488808573095,3695.948805460751,75.27016714285291,18417.56313993174,330.61939018595484,74069.6594464322,1095.7863233864489,
12000,0.0,0.9888656600767293,0,292,0.0,8088.479452054795,289.7570715904722,7514.66095890411,115.56996094597035,3695.2294520547944,77.81880135870271,18378.87328767123,350.14521601779745,74013.47051871973,1142.734036169212,
13000,0.0,1.019969947564838,0,295,0.0,8089.291525423729,303.66938382712266,7523.28813559322,120.99284904593658,3689.677966101695,79.62667994193356,18362.813559322032,355.0511003840736,73931.26398608217,1190.8321164152353,
14000,0.0,1.0151518304635958,0,296,0.0,8092.14527027027,309.5737302115429,7530.989864864865,125.98062605227156,3686.4560810810813,82.49896455234841,18337.804054054053,358.50767376128334,73854.17232803856,1228.5620931810472,
15000,0.0,1.0290833159932051,0,295,0.0,8064.067796610169,305.8580852045203,7532.206779661017,124.6029951273811,3686.905084745763,81.51192784448803,18330.410169491526,356.5418337567351,73835.7023218766,1210.1947539777098,
16000,0.0,0.9788935459891274,0,298,0.0,8072.251677852349,316.75041581662305,7537.342281879195,127.3543791028492,3687.1879194630874,83.91401552608262,18302.493288590606,366.1732109599988,73782.57222016141,1243.5730057323215,
17000,0.0,1.0037509815671903,0,297,0.0,8063.323232323232,320.9580301800016,7538.13468013468,127.59569740371914,3690.013468013468,85.19429064602838,18285.73400673401,377.1882416667081,73770.02672154886,1255.2915427912483,
18000,0.0,0.9605597670875716,0,293,0.0,8048.648464163823,318.45835338225646,7540.84300341297,126.93701614893585,3688.071672354949,86.91107013620469,18282.31058020478,377.39490880484016,73741.04078353512,1255.8462141878463,
19000,0.0,0.9655798046274844,0,298,0.0,8010.677852348993,315.0238143433624,7538.892617449665,125.72496566902616,3686.8389261744965,86.02130742083918,18303.157718120805,372.16145188067776,73746.353193273,1251.2088533668905,
20000,0.0,0.9923066603080765,0,299,0.0,8053.341137123746,329.27855264322034,7546.662207357859,131.97702854419398,3686.0367892976587,89.8727564889503,18260.05685618729,391.34056554227277,73658.44845421799,1308.4969442228073,
30000,0.0,0.9814868974542615,0,295,0.0,8016.613559322034,326.76386511509855,7543.938983050847,130.6248205149352,3684.7966101694915,90.10810450222345,18279.37966101695,387.2701832578428,73670.93404129983,1300.1301741799207,
40000,0.0,1.0370898832262592,0,297,0.0,7805.572390572391,315.9170643712552,7570.380471380471,139.98080684615192,3662.252525252525,96.31258838892914,18251.090909090908,383.9020399103417,73364.05106773177,1398.5082620311912,
50000,0.0,0.8917430138382029,0,294,0.0,7633.190476190476,329.5761312714482,7578.408163265306,143.50734201521774,3663.234693877551,97.2550963308415,18180.812925170067,409.15707573260363,73286.55663474656,1474.73183845801,
60000,0.0,0.882529063742755,0,298,0.0,7511.4295302013425,335.3490869745714,7588.8288590604025,163.47555152278306,3656.3724832214766,110.69787249252143,18145.946308724833,422.20255460767515,73144.26323324365,1651.9178691866148,
70000,0.0,1.0193419621497528,0,299,0.0,7393.170568561873,353.13454616571204,7592.76254180602,168.1215731131718,3658.5083612040135,112.91268016242245,18112.07357859532,466.289790258412,73026.47447409388,1731.9682578366408,
80000,0.0,0.9610347886689131,0,300,0.0,7260.153333333334,327.3462740822866,7581.836666666667,175.24456241366107,3663.5066666666667,113.72002149528855,18127.51,531.7777573698748,73056.19269260128,1856.9996784148207,
90000,0.0,1.037967015643818,0,299,0.0,7138.568561872909,328.38823658595345,7593.167224080267,185.24363094405638,3651.3076923076924,111.05131075209411,18132.866220735785,576.9698109131147,72906.88177138541,1966.330080609124,
100000,0.0,1.0663535916252962,0,295,0.0,7088.837288135594,357.28550132499447,7611.871186440678,188.22798207911438,3637.7322033898304,109.70137962557828,18099.3593220339,601.2859606550752,72663.78569976617,1950.9111754027224,
110000,0.0,1.0577095525030977,0,298,0.0,7014.355704697987,364.01025271027015,7609.677852348993,201.99404498021258,3641.5234899328857,117.04769198878252,18070.177852348992,627.5793903462207,72677.8117599638,2088.2810136806224,
120000,0.0,1.003430687154156,0,295,0.0,6958.477966101695,394.73905393430226,7600.433898305085,219.80601972769549,3646.1762711864408,129.76840954141926,18075.877966101696,658.438465026438,72740.86766634499,2288.0666337657417,
