TIME,HV,SPREAD,CORRECT,TOTAL,%CORRECT,OBJ1-MEAN,OBJ1-STDEV,OBJ2-MEAN,OBJ2-STDEV,OBJ3-MEAN,OBJ3-STDEV,OBJ4-MEAN,OBJ4-STDEV,OBJ5-MEAN,OBJ5-STDEV
100,1.0,0.6835690357435835,0,245,0.0,660.7632653061224,102.83111316248473,621.5591836734694,17.552764982112784,310.22857142857146,13.432096801683487,1569.5714285714287,71.11514090055731,6214.49329467331,182.43432243104758,
200,1.0,0.863645876473727,0,291,0.0,630.0274914089347,76.3016661771194,623.1821305841925,21.85404152224023,308.893470790378,16.737070980260782,1561.5876288659795,82.91714316388497,6191.305950530401,224.64576109482562,
300,1.0,0.957524439437776,0,270,0.0,607.8296296296296,68.48979818497337,625.1703703703704,23.354606410803978,307.6703703703704,18.20008780635748,1552.2444444444445,92.763815316635,6163.1823157085955,244.38357589036826,
400,1.0,1.023863881339411,0,279,0.0,592.5412186379929,63.667237400630036,627.5448028673835,23.92949545142364,305.5483870967742,17.843715877677344,1552.0035842293908,96.95646209876291,6130.561289487041,252.5125049046098,
500,1.0,1.032719185142048,0,277,0.0,568.8447653429603,58.78057848997758,627.3682310469314,23.01062699346843,305.82671480144404,16.432960001351745,1554.3754512635378,97.6637004548221,6129.507734484282,236.13334171586519,
600,1.0,1.009543586952709,0,285,0.0,561.4,58.865663300344075,627.4175438596491,23.070396636922368,305.1543859649123,16.856380645993077,1558.2456140350878,97.89085950945645,6129.422548677134,232.6430521302125,
700,1.0,0.9836076420691947,0,287,0.0,565.4006968641115,64.91025484608242,630.1254355400697,23.73734647852753,303.8501742160279,17.693731787527213,1546.9233449477351,99.68012102813753,6093.391201915483,239.23983713327945,
800,1.0,1.0379819951730802,0,272,0.0,544.2757352941177,62.129440303293585,628.125,24.23519484381438,306.00367647058823,18.132781932213586,1545.952205882353,97.80251670865043,6116.247632685326,242.98259428444945,
900,1.0,0.9884821360953038,0,289,0.0,535.80276816609,61.15887070888162,628.4567474048442,24.131252212955335,305.93425605536333,18.25385685794897,1543.2768166089966,97.92483267044085,6109.004876701583,242.0071837378471,
1000,1.0,0.9653550437654992,0,283,0.0,522.8904593639576,61.35132001253234,627.643109540636,24.75769174576069,306.7279151943463,17.74535717609808,1543.0989399293287,98.66936668053428,6116.784516011819,251.15387687836665,
1100,1.0,1.0101718844178802,0,282,0.0,513.4645390070922,63.93497764628888,628.7978723404256,25.39974581903618,305.43971631205676,18.051490103450803,1541.6382978723404,97.62878576459265,6112.330113809533,258.1377668583273,
1200,1.0,1.0371908869528397,0,276,0.0,501.4492753623188,61.81149141130143,628.1340579710145,25.93246802804594,305.17753623188406,17.784570409613064,1544.2246376811595,99.02733615536741,6127.2024336605955,267.8155700549939,
1300,1.0,1.0464749141189593,0,283,0.0,491.7809187279152,58.80958122946994,629.0742049469965,26.513243686863092,305.2226148409894,17.334474654201813,1536.9540636042402,97.80991160703229,6122.327089464909,277.5230074625677,
1400,1.0,1.0441835971865363,0,281,0.0,488.9928825622776,60.379699687854114,630.5160142348755,26.625528777663543,304.4519572953737,17.43269736587353,1532.5017793594307,99.04174771493174,6105.335285976048,280.14272587380617,
1500,1.0,1.0188864681184309,0,280,0.0,478.2892857142857,54.01307936367759,629.2035714285714,26.80201194663853,305.2892857142857,18.547002824594333,1535.357142857143,95.39987806435536,6119.48385770758,283.1946345701148,
1600,1.0,0.9974011764407885,0,281,0.0,472.6868327402135,54.901154830406234,629.6725978647687,27.143475324315105,304.7864768683274,18.729122527444833,1535.5017793594307,97.57858862316041,6114.93921611489,289.304768812741,
1700,1.0,1.0045271587156326,0,267,0.0,470.52059925093636,58.170054097004076,631.1498127340824,27.806851706685375,303.16104868913857,19.06779496671706,1536.2247191011236,101.05678525410784,6091.926385863339,298.7236707843647,
1800,1.0,1.0420990784377007,0,278,0.0,463.07553956834533,55.932108565597225,630.956834532374,28.45111179974668,303.2230215827338,19.439832712912143,1538.9208633093526,101.74336912961273,6089.577678596519,310.8714818716448,
1900,1.0,1.0631084878986712,0,290,0.0,461.1965517241379,56.75299768937393,631.903448275862,28.25373314068878,302.8379310344828,19.441812633548402,1535.441379310345,102.73574241962378,6077.3059274457555,307.9337076182742,
2000,1.0,1.041433553963243,0,285,0.0,461.6842105263158,58.07803519184471,631.5929824561404,29.615713347307157,302.7859649122807,19.583016617937552,1538.059649122807,108.56017792660364,6069.87597921968,323.23450326064767,
3000,1.0,1.0384906800330427,0,288,0.0,458.35069444444446,58.779353773866056,631.7916666666666,30.264774858277434,302.90625,19.2282045398521,1537.0659722222222,110.47036031794688,6060.501165275079,328.122468669401,
4000,1.0,1.0021344835945658,0,288,0.0,453.1666666666667,56.906416841844674,630.6041666666666,30.011738154984183,303.0798611111111,19.195373718761815,1542.361111111111,110.94531380063324,6070.8761563629105,324.25704583052027,
5000,1.0,1.049360209871069,0,289,0.0,440.4948096885813,60.559108996114084,633.2871972318339,32.51292863047944,301.0103806228374,18.5585176499573,1536.9273356401384,116.09031018054296,6036.550197970164,344.70148543475113,
6000,1.0,1.0536968326333662,0,289,0.0,427.0484429065744,62.958802419310146,634.1799307958478,34.563448681668,299.87543252595157,18.574223644138435,1536.6955017301038,128.04282917966566,6013.473450957214,350.8912027996039,
7000,1.0,1.0350442872820593,0,292,0.0,406.30479452054794,64.7380356875601,631.1883561643835,37.374018538034754,300.0924657534247,21.599126649062725,1543.1986301369864,123.98186013267869,6040.172753593232,377.27157258128835,
8000,1.0,1.0732281778979158,0,280,0.0,384.3178571428571,66.3153373424032,632.3285714285714,39.99248909074637,302.1857142857143,23.026874272803717,1520.7714285714285,120.82317911826728,6018.65874997169,415.7602558726542,
9000,1.0,1.0573462977573334,0,280,0.0,377.87857142857143,67.39706096359554,635.5607142857143,40.608978944543395,303.08214285714286,23.531977537740744,1501.2642857142857,128.25438509430535,5976.400116953567,426.55548449154355,
10000,1.0,1.0895984511501293,0,289,0.0,371.83391003460207,67.65058885116125,640.2283737024221,39.56917325077211,299.7923875432526,23.80744142720964,1488.1937716262976,132.5294920339817,5913.871534265923,414.33607168704964,
11000,1.0,1.069097307363027,0,283,0.0,350.75618374558303,66.9243066091699,638.7879858657244,40.49609670812042,300.0424028268551,23.930663326158683,1492.13074204947,136.3828554469857,5929.995670499275,426.5593818475241,
12000,1.0,1.076899036148791,0,278,0.0,341.7769784172662,74.29128391467053,639.8093525179856,42.878651581541945,298.2661870503597,24.877563651434993,1493.5827338129495,144.73530289227168,5922.297523648445,453.6567933270476,
13000,1.0,1.07622961096894,0,283,0.0,329.6537102473498,75.78256192014796,638.0918727915194,44.71660316101209,299.8551236749117,26.67439184802039,1491.113074204947,149.82600487629765,5933.914665081931,470.9386286517485,
14000,1.0,1.0629051910872485,0,291,0.0,321.51202749140896,75.5991124310109,638.8762886597938,45.007656713699916,298.6701030927835,26.6414612341441,1492.2474226804125,151.58648065967816,5919.439813125915,476.7831141514066,
15000,1.0,1.1093082651362531,0,285,0.0,308.9578947368421,73.70489985227937,638.719298245614,47.000766841808755,298.06315789473683,28.037747936058373,1494.6491228070176,151.19571274299446,5913.563659741836,499.38343523487697,
16000,1.0,1.0906717627359952,0,274,0.0,296.2226277372263,72.72599861704765,637.9051094890511,47.41690899420431,297.35036496350364,28.414834010382755,1498.7116788321168,149.95875616227366,5915.309354330698,502.29179057548157,
17000,1.0,1.0766094698992297,0,290,0.0,295.151724137931,76.75440735717719,640.7896551724137,49.357742954234304,295.9413793103448,29.522755889972082,1487.348275862069,152.9270484649454,5880.651337667096,522.6192014746591,
18000,1.0,1.1101966025884484,0,285,0.0,284.8561403508772,71.95454466108316,640.3578947368421,49.37957155338568,295.6561403508772,29.85228556616999,1487.4280701754385,151.83712159010062,5882.629287424021,523.6712043625838,
19000,1.0,1.0877978541787408,0,277,0.0,266.7148014440433,63.64302716929048,639.0469314079422,48.33145151332814,296.7725631768953,28.54868989768476,1485.9494584837546,144.53817019774084,5890.857686211892,519.6556857271761,
20000,1.0,1.0953560114925147,0,294,0.0,263.52721088435374,66.02765042095614,639.7551020408164,51.07032524106031,296.32312925170066,30.343515300967162,1480.4115646258504,148.34214451412163,5880.956703171721,550.8706798882666,
30000,1.0,1.1058863120526665,0,285,0.0,221.7824561403509,80.35606096815755,649.6245614035088,63.41776905430511,285.7298245614035,36.91993216674824,1475.2491228070176,191.48545189832103,5765.945362963783,672.9459407628373,
40000,1.0,1.1631411538897907,0,291,0.0,173.4020618556701,78.44125691322621,648.4982817869416,76.18865058620874,283.69415807560136,43.99163385273876,1479.914089347079,227.03410322745432,5752.1192159233515,806.8477917734863,
